measuring | đo lường, tiêu chuẩn
electrnics | điện tử dân dụng 
facility | nhà vệ sinh
railing | tay vịn, rào 
pot | cái chậu 
customer | khách hàng
partron | khách quen
light | ánh sáng 
seat | chỗ ngồi 
wall | bức tường 
hang | treo 
hallway | hành lang 
ceiling | nhà sàn
ground | tầng hầm 
be tiled | lot, lát 
be standing | đứng 
stairs | thang bộ 
escalator | thang cuộn 
elevator | thang máy 
put | đặt để 
cut | cắt 
suitcase | vali 
luggaage | hành lý 
be getting off | xuống
tourist | du khách 
shadow | bóng râm 
outdoors | bên ngoài
pictures | tấm ảnh 
surround | bao quanh 
shrup | bụi cây 
plaza | trung tâm mua sắm 
gather | tụ tập 
backpack | ba lô 
counter | quầy 
be paying | trả tiền 
be holding | cầm, nắm
document | tài liệu 
bookshaelf | kệ sách 
equipment | dụng cụ 
machine | máy 
be pulling | kéo 
be pushing | đẩy 
statue | bức tường 
woods | rừng 
mountain | núi 
entrance | lối vào 
cloud | mây 
sky | bầu trời 
sofa | gế so-fa 
be watching | nhìn 
