galery | triển lãm 
balloon | bong bóng 
be lying | nằm 
tyre | vỏ xe 
destroy | phá huỷ 
hammer | lúa 
check | kiểm tra 
turn on | mở 
turn off | tắt 
turn up | tăng 
turn down | giảm 
water | nước 
musician | nhạc sĩ 
music | nhạc 
instruments | nhạc cụ 
audience | khán giả 
container | xe con-ten-nơ 
ladder | cây thang 
leader | lãnh đạo 
lawn | cỏ 
law | luật 
leash | dây xích chó 
bushes | bụi cây 
be adjusting | điều chỉnh 
mask | mặt nạ 
ve digging | đào 
draw | vẽ tranh 
be leaving | rời khỏi 
couple | cặp 
parasol | cây dù lớn 
picnic | dã ngoại 
be lifting | nâng lên 
balcony | ban công 
be riding | lái xe đạp 
amusement park | công viên giải trí 
candle | đèn cầy 
traffic giao thông 
be openrating | vận hành 
file | tài liệu 
install | lắp đặt 
cable | cáp 
office supplies | văn phòng phẩm 
branch | nhánh cây 
bottle | chai 
be feeding | cho ăn 
banquet | yến tiệc 
stroller | xe đẩy em bé 
mirror | gương 
stadium | sân vận động 
pipe | ống 
